Data;Moderada
26/11/2024;0,00144
25/11/2024;0,00048
22/11/2024;0,00226
21/11/2024;0,00003
19/11/2024;0,00184
18/11/2024;-0,00009
14/11/2024;0,00086
13/11/2024;0,00030
12/11/2024;-0,00222
11/11/2024;0,00025
08/11/2024;-0,00112
07/11/2024;0,00058
06/11/2024;0,00071
05/11/2024;0,00065
04/11/2024;0,00506
01/11/2024;-0,00264
31/10/2024;-0,00106
30/10/2024;0,00032
29/10/2024;-0,00080
28/10/2024;0,00136
25/10/2024;-0,00080
24/10/2024;0,00309
23/10/2024;-0,00144
22/10/2024;-0,00035
21/10/2024;-0,00016
18/10/2024;-0,00106
17/10/2024;-0,00078
16/10/2024;0,00085
15/10/2024;-0,00031
14/10/2024;0,00138
11/10/2024;0,00017
10/10/2024;0,00127
09/10/2024;-0,00283
08/10/2024;0,00030
07/10/2024;0,00101
04/10/2024;-0,00035
03/10/2024;-0,00216
02/10/2024;0,00152
01/10/2024;0,00137
30/09/2024;-0,00174
27/09/2024;0,00009
26/09/2024;0,00185
25/09/2024;-0,00048
24/09/2024;0,00327
23/09/2024;-0,00012
20/09/2024;-0,00358
19/09/2024;-0,00195
18/09/2024;-0,00104
17/09/2024;0,00007
16/09/2024;0,00006
13/09/2024;0,00234
12/09/2024;-0,00143
11/09/2024;0,00076
10/09/2024;-0,00040
09/09/2024;0,00026
06/09/2024;-0,00166
05/09/2024;0,00155
04/09/2024;0,00341
03/09/2024;-0,00086
02/09/2024;-0,00134
30/08/2024;-0,00065
29/08/2024;-0,00181
28/08/2024;-0,00020
27/08/2024;-0,00028
26/08/2024;0,00090
23/08/2024;0,00228
22/08/2024;-0,00209
21/08/2024;0,00081
20/08/2024;-0,00036
19/08/2024;0,00160
16/08/2024;-0,00077
15/08/2024;0,00063
14/08/2024;0,00151
13/08/2024;0,00280
12/08/2024;0,00129
09/08/2024;0,00408
08/08/2024;0,00284
07/08/2024;0,00225
06/08/2024;0,00006
05/08/2024;-0,00075
02/08/2024;0,00081
01/08/2024;0,00124
31/07/2024;0,00316
30/07/2024;-0,00034
29/07/2024;-0,00047
26/07/2024;0,00322
25/07/2024;-0,00070
24/07/2024;0,00000
23/07/2024;-0,00236
22/07/2024;0,00111
19/07/2024;-0,00032
18/07/2024;-0,00329
17/07/2024;0,00028
16/07/2024;0,00054
15/07/2024;0,00027
12/07/2024;0,00130
11/07/2024;0,00304
10/07/2024;0,00212
09/07/2024;0,00110
08/07/2024;0,00051
05/07/2024;0,00136
04/07/2024;0,00249
03/07/2024;0,00287
02/07/2024;0,00070
01/07/2024;0,00004
28/06/2024;-0,00188
27/06/2024;0,00250
26/06/2024;0,00034
25/06/2024;-0,00050
24/06/2024;0,00213
21/06/2024;0,00249
20/06/2024;0,00085
19/06/2024;0,00117
18/06/2024;0,00120
17/06/2024;-0,00048
14/06/2024;0,00089
13/06/2024;0,00049
12/06/2024;-0,00350
11/06/2024;0,00119
10/06/2024;0,00031
07/06/2024;-0,00457
06/06/2024;0,00270
05/06/2024;-0,00032
04/06/2024;-0,00051
03/06/2024;-0,00003
31/05/2024;0,00023
29/05/2024;-0,00184
28/05/2024;-0,00052
27/05/2024;0,00043
24/05/2024;-0,00044
23/05/2024;-0,00083
22/05/2024;-0,00278
21/05/2024;-0,00012
20/05/2024;-0,00048
17/05/2024;-0,00018
16/05/2024;0,00144
15/05/2024;0,00042
14/05/2024;0,00104
13/05/2024;0,00071
10/05/2024;-0,00084
09/05/2024;-0,00045
08/05/2024;0,00053
07/05/2024;0,00183
06/05/2024;-0,00047
03/05/2024;0,00315
02/05/2024;0,00238
30/04/2024;-0,00389
29/04/2024;0,00128
26/04/2024;0,00346
25/04/2024;-0,00028
24/04/2024;-0,00090
23/04/2024;-0,00044
22/04/2024;0,00096
19/04/2024;0,00183
18/04/2024;0,00085
17/04/2024;-0,00082
16/04/2024;-0,00257
15/04/2024;-0,00155
12/04/2024;-0,00118
11/04/2024;-0,00087
10/04/2024;-0,00381
09/04/2024;0,00189
08/04/2024;0,00270
05/04/2024;-0,00106
04/04/2024;0,00019
03/04/2024;-0,00002
02/04/2024;0,00062
01/04/2024;-0,00167
28/03/2024;0,00070
27/03/2024;0,00208
26/03/2024;0,00003
25/03/2024;0,00020
22/03/2024;-0,00118
21/03/2024;-0,00145
20/03/2024;0,00321
19/03/2024;0,00125
18/03/2024;-0,00023
15/03/2024;-0,00171
14/03/2024;-0,00098
13/03/2024;0,00093
12/03/2024;0,00238
11/03/2024;-0,00086
08/03/2024;-0,00139
07/03/2024;-0,00011
06/03/2024;0,00188
05/03/2024;0,00013
04/03/2024;-0,00112
01/03/2024;0,00055
29/02/2024;-0,00061
28/02/2024;-0,00145
27/02/2024;0,00328
26/02/2024;-0,00028
23/02/2024;-0,00118
22/02/2024;0,00042
21/02/2024;0,00051
20/02/2024;0,00166
19/02/2024;0,00071
16/02/2024;0,00105
15/02/2024;0,00161
14/02/2024;-0,00146
09/02/2024;0,00052
08/02/2024;-0,00223
07/02/2024;-0,00002
06/02/2024;0,00431
05/02/2024;0,00031
02/02/2024;-0,00184
01/02/2024;0,00160
31/01/2024;0,00153
30/01/2024;-0,00176
29/01/2024;-0,00055
26/01/2024;0,00136
25/01/2024;0,00143
24/01/2024;-0,00033
23/01/2024;0,00279
22/01/2024;-0,00129
19/01/2024;0,00092
18/01/2024;-0,00120
17/01/2024;-0,00157
16/01/2024;-0,00433
15/01/2024;0,00081
12/01/2024;0,00171
11/01/2024;0,00082
10/01/2024;-0,00050
09/01/2024;-0,00175
08/01/2024;0,00042
05/01/2024;0,00117
04/01/2024;-0,00267
03/01/2024;0,00036
02/01/2024;-0,00205
29/12/2023;0,00065
28/12/2023;0,00035
27/12/2023;0,00162
26/12/2023;0,00132
22/12/2023;0,00142
21/12/2023;0,00244
20/12/2023;-0,00065
19/12/2023;0,00166
18/12/2023;0,00196
15/12/2023;0,00012
